venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: imguests, BSSID: 8c:b6:4f:c9:a7:2e, capabilities: [WPA2-PSK-CCMP][ESS], level: -80, frequency: 5785, timestamp: 184448215279, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: AV1, BSSID: b4:75:0e:67:b0:eb, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -66, frequency: 2427, timestamp: 184463206564, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Crestron-133783, BSSID: 00:10:7f:13:37:83, capabilities: [ESS], level: -80, frequency: 2452, timestamp: 184463206593, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: ORI, BSSID: 94:b4:0f:3f:72:60, capabilities: [WPA2-PSK-CCMP][ESS], level: -71, frequency: 2462, timestamp: 184463206629, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: ORI-TEST, BSSID: 94:b4:0f:3f:6d:a1, capabilities: [WPA2-PSK-CCMP][ESS], level: -79, frequency: 2412, timestamp: 184463206552, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Antallagon-2.4, BSSID: 60:02:92:f2:a7:08, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -61, frequency: 2437, timestamp: 184463206567, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Carlisle Guest, BSSID: 92:5c:79:13:40:70, capabilities: [WPA2-PSK-CCMP][ESS], level: -73, frequency: 2437, timestamp: 184448215227, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: BevSpot, BSSID: 8a:15:14:29:39:90, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -87, frequency: 5220, timestamp: 184448215254, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: MHE_TEST, BSSID: 18:64:72:5f:41:f3, capabilities: [WPA2-PSK-CCMP][ESS], level: -91, frequency: 5745, timestamp: 184463206655, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: HP-Print-4d-Color LaserJet MFP, BSSID: c4:8e:8f:05:b4:4d, capabilities: [ESS], level: -81, frequency: 2437, timestamp: 184448215230, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 2417, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Vertex Public, BSSID: b4:75:0e:67:a3:bf, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -64, frequency: 2432, timestamp: 184463206571, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: ORI, BSSID: 94:b4:0f:3f:2f:80, capabilities: [WPA2-PSK-CCMP][ESS], level: -83, frequency: 2462, timestamp: 184463206607, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Consigli, BSSID: 08:ea:44:6a:aa:15, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 2462, timestamp: 184448215241, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
