venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:cf:82:9e, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -80, frequency: 5180, timestamp: 184854590356, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:cf:82:9d, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -80, frequency: 5180, timestamp: 184854590372, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Humanscale, BSSID: 04:18:d6:04:75:27, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -83, frequency: 2412, timestamp: 184870549947, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: ScanIt_Mobile, BSSID: 00:23:eb:61:cc:d6, capabilities: [ESS], level: -82, frequency: 2412, timestamp: 184854590133, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Chalicenet-Staff, BSSID: 9c:1c:12:18:d1:fa, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 5180, timestamp: 184854590282, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: WorkableTV, BSSID: 84:d4:7e:df:65:d2, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 5220, timestamp: 184854590401, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Workable, BSSID: 84:d4:7e:df:65:d0, capabilities: [WPA2-PSK-CCMP][ESS], level: -78, frequency: 5220, timestamp: 184854590430, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Corporate, BSSID: 18:64:72:11:87:d0, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5180, timestamp: 184870549999, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Workable, BSSID: 84:d4:7e:df:68:10, capabilities: [WPA2-PSK-CCMP][ESS], level: -87, frequency: 5805, timestamp: 184872131032, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: WorkableTV, BSSID: 84:d4:7e:df:68:12, capabilities: [WPA2-PSK-CCMP][ESS], level: -86, frequency: 5805, timestamp: 184872131040, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Humanscale, BSSID: 04:18:d6:03:75:27, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -76, frequency: 5240, timestamp: 184854590490, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Chalicenet, BSSID: 9c:1c:12:23:71:8b, capabilities: [WPA2-PSK-CCMP][ESS], level: -87, frequency: 5785, timestamp: 184854590690, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5805, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Chalicenet-Staff, BSSID: 9c:1c:12:23:71:8a, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5785, timestamp: 184854590675, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5805, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: WorkableGuest, BSSID: 84:d4:7e:df:65:d1, capabilities: [ESS], level: -89, frequency: 5220, timestamp: 184854590386, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: WorkableGuest, BSSID: 84:d4:7e:df:68:11, capabilities: [ESS], level: -87, frequency: 5805, timestamp: 184872131036, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
