venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: ZmagsGuestV2, BSSID: c4:10:8a:5d:6c:b8, capabilities: [WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS], level: -71, frequency: 2452, timestamp: 179108421378, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: CoxWiFi, BSSID: 00:0d:67:75:c0:70, capabilities: [ESS], level: -69, frequency: 5240, timestamp: 179108421403, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: XFINITY, BSSID: 00:0d:67:75:c0:6d, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 5240, timestamp: 179108421394, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: xfinitywifi, BSSID: 00:0d:67:75:c0:6e, capabilities: [ESS], level: -68, frequency: 5240, timestamp: 179108421397, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: ZmagsV2, BSSID: c4:10:8a:1d:6c:b8, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -63, frequency: 2452, timestamp: 179108421375, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: EverFi Boston, BSSID: 8c:0c:90:03:73:08, capabilities: [WPA2-PSK-CCMP][ESS], level: -78, frequency: 2447, timestamp: 179093416603, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: ACIS Exec, BSSID: 02:18:5a:2f:1c:41, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -89, frequency: 5765, timestamp: 179108421416, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5775, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: ACIS East1, BSSID: 02:18:5a:2f:1c:40, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -87, frequency: 5765, timestamp: 179108421413, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5775, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: CableWiFi, BSSID: 00:0d:67:75:c0:6f, capabilities: [ESS], level: -69, frequency: 5240, timestamp: 179108421400, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: XFINITY, BSSID: 00:0d:67:75:f2:6d, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5200, timestamp: 179108421383, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin-24-02-2016-15:03:46.txt, Scan 1, null, SSID: CoxWiFi, BSSID: 00:0d:67:75:f2:70, capabilities: [ESS], level: -85, frequency: 5200, timestamp: 179108421392, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
