venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: Blade VJ 5GHz, BSSID: 34:12:98:0b:a8:57, capabilities: [WPA2-PSK-CCMP][ESS], level: -73, frequency: 5745, timestamp: 180800790649, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5775, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: hpsetup, BSSID: 66:2a:2f:53:7c:99, capabilities: [IBSS], level: -76, frequency: 2462, timestamp: 180823724159, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: , BSSID: 04:18:d6:82:ae:f5, capabilities: [WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS], level: -84, frequency: 2412, timestamp: 180800790512, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: Blade VJ, BSSID: 34:12:98:0b:a8:56, capabilities: [WPA2-PSK-CCMP][ESS], level: -56, frequency: 2462, timestamp: 180800790542, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: blade, BSSID: 02:18:4a:a2:05:62, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -79, frequency: 2462, timestamp: 180800790557, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: Blade Stage, BSSID: 80:ea:96:ee:cb:ee, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 2412, timestamp: 180800790499, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: Blade Stage 5GHz, BSSID: 80:ea:96:ee:cb:ef, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 5180, timestamp: 180800790602, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: CBCI-AA09-2.4, BSSID: 60:02:92:7a:b7:80, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -77, frequency: 2462, timestamp: 180800790572, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: blade, BSSID: 02:18:5a:14:c1:02, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -88, frequency: 5220, timestamp: 180800790633, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: , BSSID: aa:54:b2:00:07:f2, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -77, frequency: 5180, timestamp: 180823724173, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: , BSSID: 8a:15:04:f2:26:32, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -85, frequency: 2412, timestamp: 180800790485, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: , BSSID: 8a:15:04:f2:26:31, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -86, frequency: 2412, timestamp: 180800790468, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: HP-Print-2C-Photosmart 7520, BSSID: a0:48:1c:ae:0e:2c, capabilities: [ESS], level: -82, frequency: 2462, timestamp: 180800790586, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: AV1, BSSID: b4:75:0e:67:b0:eb, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -65, frequency: 2427, timestamp: 180823724141, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: ORI-TEST, BSSID: 94:b4:0f:3f:a9:81, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2462, timestamp: 180823724166, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: ORI, BSSID: 94:b4:0f:3f:a9:80, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2462, timestamp: 180823724163, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: HP-Print-54-Officejet Pro 8630, BSSID: 94:57:a5:9f:97:54, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2462, timestamp: 180823724152, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: CTP-Internal, BSSID: 00:0c:e6:02:b1:2b, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2462, timestamp: 180823724156, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: Nordic24, BSSID: b4:75:0e:3c:90:08, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -71, frequency: 2427, timestamp: 180823724145, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: imguests, BSSID: 8c:b6:4f:c9:a7:2e, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 5785, timestamp: 180823724181, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: Metro, BSSID: 48:f8:b3:30:85:ee, capabilities: [WPA2-PSK-CCMP][ESS], level: -79, frequency: 2462, timestamp: 180823724170, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: ORI, BSSID: 94:b4:0f:3f:6d:a0, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180823724123, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: NHP Corporate, BSSID: 00:19:92:38:30:21, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180823724134, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: ORI-TEST, BSSID: 94:b4:0f:3f:6d:a1, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 2412, timestamp: 180823724127, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: NHP Visitor, BSSID: 00:19:92:31:05:42, capabilities: [WPA2-PSK-CCMP][ESS], level: -83, frequency: 2412, timestamp: 180823724131, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: CBCI-87DE-5, BSSID: d8:97:ba:23:28:80, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -89, frequency: 5805, timestamp: 180823724188, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: MWG-Intranet, BSSID: f8:4f:57:07:bf:11, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS], level: -87, frequency: 2442, timestamp: 180823724148, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: MMGuest, BSSID: 88:75:56:4c:4a:af, capabilities: [ESS], level: -76, frequency: 5805, timestamp: 180823724184, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-15:32:24.txt, Scan 1, null, SSID: xfinitywifi, BSSID: 20:25:64:fb:83:72, capabilities: [ESS], level: -91, frequency: 5765, timestamp: 180823724177, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5745, centerFreq1: 0, 80211mcResponder: is not supported
