Ground Truth Set: lat/lng: (42.30246102669409,-71.38341084122658)
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: NEPTUNE, BSSID: 02:18:1a:e3:b9:f0, capabilities: [WPA2-PSK-CCMP][ESS], level: -78, frequency: 5200, timestamp: 348666504292, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5180, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: MARS, BSSID: 0a:18:1a:e3:b9:f0, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -77, frequency: 5200, timestamp: 348666504296, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5180, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: NEPTUNE, BSSID: 00:18:0a:e3:b9:f0, capabilities: [WPA2-PSK-CCMP][ESS], level: -86, frequency: 2437, timestamp: 348651505384, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: MARS, BSSID: 0a:18:0a:e3:b9:f0, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -68, frequency: 2437, timestamp: 348651505390, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 0a:18:0a:e3:b9:f0, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -68, frequency: 2437, timestamp: 348651505387, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: p27x1c2, BSSID: 00:24:6c:0d:a3:3c, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5200, timestamp: 348666504315, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5180, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: JennyBoston5, BSSID: 20:25:64:6c:9b:18, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -83, frequency: 5240, timestamp: 348666504374, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: EBW-Staff, BSSID: 5c:50:15:4d:e7:81, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2447, timestamp: 348651505432, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: EBW-Guest, BSSID: 5c:50:15:4d:e7:80, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2447, timestamp: 348651505429, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: 1809f, BSSID: 9c:1c:12:e8:2a:23, capabilities: [WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -71, frequency: 2462, timestamp: 348666504251, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2e:00:d1, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2412, timestamp: 348651505355, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
